id,genus,species,place,fishing_pressure
VirSWA1,Copadichromis,virginalis,South West Arm,1
VirSWA2,Copadichromis,virginalis,South West Arm,1
VirSWA3,Copadichromis,virginalis,South West Arm,1
VirSWA4,Copadichromis,virginalis,South West Arm,1
VirSWA5,Copadichromis,virginalis,South West Arm,1
VirSWA6,Copadichromis,virginalis,South West Arm,1
VirSWA7,Copadichromis,virginalis,South West Arm,1
VirSWA8,Copadichromis,virginalis,South West Arm,1
VirSWA9,Copadichromis,virginalis,South West Arm,1
VirSWA10,Copadichromis,virginalis,South West Arm,1
VirSWA11,Copadichromis,virginalis,South West Arm,1
VirSWA12,Copadichromis,virginalis,South West Arm,1
VirSWA13,Copadichromis,virginalis,South West Arm,1
VirSWA14,Copadichromis,virginalis,South West Arm,1
VirSWA15,Copadichromis,virginalis,South West Arm,1
VirSWA16,Copadichromis,virginalis,South West Arm,1
VirSWA17,Copadichromis,virginalis,South West Arm,1
VirSWA18,Copadichromis,virginalis,South West Arm,1
VirSWA19,Copadichromis,virginalis,South West Arm,1
VirSWA20,Copadichromis,virginalis,South West Arm,1
VirSWA21,Copadichromis,virginalis,South West Arm,1
VirSWA22,Copadichromis,virginalis,South West Arm,1
VirSWA23,Copadichromis,virginalis,South West Arm,1
VirSWA24,Copadichromis,virginalis,South West Arm,1
VirSWA25,Copadichromis,virginalis,South West Arm,1
VirSWA26,Copadichromis,virginalis,South West Arm,1
VirSWA27,Copadichromis,virginalis,South West Arm,1
VirMAL1,Copadichromis,virginalis,Malombe,4
VirMAL2,Copadichromis,virginalis,Malombe,4
VirMAL3,Copadichromis,virginalis,Malombe,4
VirMAL4,Copadichromis,virginalis,Malombe,4
VirMAL5,Copadichromis,virginalis,Malombe,4
VirMAL6,Copadichromis,virginalis,Malombe,4
VirMAL7,Copadichromis,virginalis,Malombe,4
VirMAL8,Copadichromis,virginalis,Malombe,4
VirMAL9,Copadichromis,virginalis,Malombe,4
VirMAL10,Copadichromis,virginalis,Malombe,4
VirMAL11,Copadichromis,virginalis,Malombe,4
VirMAL12,Copadichromis,virginalis,Malombe,4
VirMAL13,Copadichromis,virginalis,Malombe,4
VirMAL14,Copadichromis,virginalis,Malombe,4
VirMAL15,Copadichromis,virginalis,Malombe,4
VirMAL16,Copadichromis,virginalis,Malombe,4
VirMAL17,Copadichromis,virginalis,Malombe,4
VirMAL18,Copadichromis,virginalis,Malombe,4
VirMAL19,Copadichromis,virginalis,Malombe,4
VirMAL20,Copadichromis,virginalis,Malombe,4
VirMAL21,Copadichromis,virginalis,Malombe,4
VirMAL22,Copadichromis,virginalis,Malombe,4
VirMAL23,Copadichromis,virginalis,Malombe,4
VirMAL24,Copadichromis,virginalis,Malombe,4
VirSEA1,Copadichromis,virginalis,South East Arm,2
VirSEA2,Copadichromis,virginalis,South East Arm,2
VirSEA3,Copadichromis,virginalis,South East Arm,2
VirSEA4,Copadichromis,virginalis,South East Arm,2
VirSEA5,Copadichromis,virginalis,South East Arm,2
VirSEA6,Copadichromis,virginalis,South East Arm,2
VirSEA7,Copadichromis,virginalis,South East Arm,2
VirSEA8,Copadichromis,virginalis,South East Arm,2
VirSEA9,Copadichromis,virginalis,South East Arm,2
VirSEA10,Copadichromis,virginalis,South East Arm,2
VirSEA11,Copadichromis,virginalis,South East Arm,2
VirSEA12,Copadichromis,virginalis,South East Arm,2
VirSEA13,Copadichromis,virginalis,South East Arm,2
VirSEA14,Copadichromis,virginalis,South East Arm,2
VirSEA15,Copadichromis,virginalis,South East Arm,2
VirSEA16,Copadichromis,virginalis,South East Arm,2
VirSEA17,Copadichromis,virginalis,South East Arm,2
VirSEA18,Copadichromis,virginalis,South East Arm,2
VirSEA19,Copadichromis,virginalis,South East Arm,2
VirSEA20,Copadichromis,virginalis,South East Arm,2
VirSEA21,Copadichromis,virginalis,South East Arm,2
VirSEA22,Copadichromis,virginalis,South East Arm,2
VirSEA23,Copadichromis,virginalis,South East Arm,2
VirSEA24,Copadichromis,virginalis,South East Arm,2
